交易时间,商户名称,金额(元),类型,绝对金额(元),分类
2021-10-10 16:54:24,补卡,-20.00,消费,20.00,补卡
2021-10-10 09:18:49,玉兰食堂-早餐,-32.40,消费,32.40,餐饮
2021-10-10 12:09:21,玉兰食堂-麻辣烫,-8.25,消费,8.25,餐饮
2021-10-11 21:00:30,浴室,-2.00,消费,2.00,浴室/开水
2021-10-11 14:43:06,玉兰食堂-麻辣烫,-13.79,消费,13.79,餐饮
2021-10-11 14:33:18,昌平校区-食堂,-14.43,消费,14.43,餐饮
2021-10-12 16:29:49,补卡,-20.00,消费,20.00,补卡
2021-10-12 18:05:59,紫竹-鸡柳大人,-15.04,消费,15.04,餐饮
2021-10-12 21:18:29,开水,-2.00,消费,2.00,浴室/开水
2021-10-12 09:24:13,玉兰食堂-早餐,-34.83,消费,34.83,餐饮
2021-10-12 11:09:47,昌平校区-食堂,-22.86,消费,22.86,餐饮
2021-10-14 19:45:23,紫竹-民族餐厅,-31.72,消费,31.72,餐饮
2021-10-14 16:31:25,水吧-拿铁,-16.98,消费,16.98,饮品
2021-10-15 23:25:19,开水,-2.00,消费,2.00,浴室/开水
2021-10-15 20:20:07,紫竹-民族餐厅,-15.97,消费,15.97,餐饮
2021-10-15 09:21:53,校医院,-29.34,消费,29.34,医疗
2021-10-16 08:45:00,微信充值,100.00,充值,100.00,充值/转账
2021-10-16 22:23:04,浴室,-2.00,消费,2.00,浴室/开水
2021-10-16 11:04:23,微信充值,100.00,充值,100.00,充值/转账
2021-10-17 13:53:42,玉兰食堂-麻辣烫,-8.95,消费,8.95,餐饮
2021-10-17 21:15:17,浴室,-2.00,消费,2.00,浴室/开水
2021-10-17 11:49:23,网络缴费,100.00,充值,100.00,网络缴费
2021-10-17 09:58:56,网络缴费,100.00,充值,100.00,网络缴费
2021-10-17 11:46:26,昌平校区-食堂,-7.43,消费,7.43,餐饮
2021-10-18 14:41:55,补卡,-20.00,消费,20.00,补卡
2021-10-18 23:03:58,浴室,-2.00,消费,2.00,浴室/开水
2021-10-19 23:21:18,开水,-2.00,消费,2.00,浴室/开水
2021-10-19 22:47:47,浴室,-2.00,消费,2.00,浴室/开水
2021-10-19 17:19:30,水吧-奶茶,-14.56,消费,14.56,饮品
2021-10-19 08:41:10,微信充值,100.00,充值,100.00,充值/转账
2021-10-20 07:51:31,玉兰食堂-早餐,-20.52,消费,20.52,餐饮
2021-10-20 16:48:28,水吧-拿铁,-17.06,消费,17.06,饮品
2021-10-20 10:12:15,网络缴费,100.00,充值,100.00,网络缴费
2021-10-21 08:16:51,玉兰食堂-早餐,-12.93,消费,12.93,餐饮
2021-10-21 11:26:24,昌平校区-食堂,-27.74,消费,27.74,餐饮
2021-10-21 10:17:21,网络缴费,100.00,充值,100.00,网络缴费
2021-10-21 14:23:08,玉兰食堂-麻辣烫,-14.05,消费,14.05,餐饮
2021-10-22 11:15:24,昌平校区-食堂,-13.86,消费,13.86,餐饮
2021-10-22 11:19:54,微信充值,100.00,充值,100.00,充值/转账
2021-10-22 12:45:48,玉兰食堂-烤盘饭,-6.94,消费,6.94,餐饮
2021-10-22 23:00:04,开水,-2.00,消费,2.00,浴室/开水
2021-10-24 16:15:50,补卡,-20.00,消费,20.00,补卡
2021-10-24 18:33:43,紫竹-鸡柳大人,-10.48,消费,10.48,餐饮
2021-10-24 20:49:02,紫竹-鸡柳大人,-8.47,消费,8.47,餐饮
2021-10-24 12:58:02,玉兰食堂-烤盘饭,-12.74,消费,12.74,餐饮
2021-10-24 21:40:16,浴室,-2.00,消费,2.00,浴室/开水
2021-10-25 17:33:37,紫竹-鸡柳大人,-8.04,消费,8.04,餐饮
2021-10-26 14:50:38,昌平校区-食堂,-13.57,消费,13.57,餐饮
2021-10-26 11:29:17,玉兰食堂-烤盘饭,-21.59,消费,21.59,餐饮
2021-10-26 10:15:35,校医院,-40.65,消费,40.65,医疗
2021-10-27 20:01:12,浴室,-2.00,消费,2.00,浴室/开水
2021-10-27 23:05:16,开水,-2.00,消费,2.00,浴室/开水
2021-10-27 16:14:31,水吧-拿铁,-17.25,消费,17.25,饮品
2021-10-28 13:23:43,玉兰食堂-麻辣烫,-26.83,消费,26.83,餐饮
2021-10-28 09:51:18,微信充值,50.00,充值,50.00,充值/转账
2021-10-28 07:12:19,玉兰食堂-早餐,-20.38,消费,20.38,餐饮
2021-10-28 12:16:48,昌平校区-食堂,-19.49,消费,19.49,餐饮
2021-10-28 20:39:31,浴室,-2.00,消费,2.00,浴室/开水
2021-10-28 18:58:42,紫竹-饺子,-20.07,消费,20.07,餐饮
2021-10-28 12:03:13,玉兰食堂-麻辣烫,-32.74,消费,32.74,餐饮
2021-10-29 09:11:25,网络缴费,50.00,充值,50.00,网络缴费
2021-10-29 15:46:07,补卡,-20.00,消费,20.00,补卡
2021-10-29 07:11:41,玉兰食堂-早餐,-15.55,消费,15.55,餐饮
2021-10-29 13:19:42,补卡,-20.00,消费,20.00,补卡
2021-10-29 10:28:10,微信充值,200.00,充值,200.00,充值/转账
2021-10-30 17:05:22,紫竹-鸡柳大人,-8.27,消费,8.27,餐饮
2021-10-30 09:48:13,网络缴费,100.00,充值,100.00,网络缴费
2021-10-30 10:52:51,微信充值,200.00,充值,200.00,充值/转账
2021-10-31 22:23:34,开水,-2.00,消费,2.00,浴室/开水
2021-10-31 14:20:23,补卡,-20.00,消费,20.00,补卡
2021-10-31 21:40:26,开水,-2.00,消费,2.00,浴室/开水
2021-11-01 16:02:29,水吧-拿铁,-8.41,消费,8.41,饮品
2021-11-01 06:47:04,玉兰食堂-早餐,-13.45,消费,13.45,餐饮
2021-11-01 11:39:02,校医院,-25.42,消费,25.42,医疗
2021-11-02 11:46:48,校医院,-27.31,消费,27.31,医疗
2021-11-02 06:06:30,玉兰食堂-早餐,-29.95,消费,29.95,餐饮
2021-11-02 16:50:16,补卡,-20.00,消费,20.00,补卡
2021-11-03 12:59:31,网络缴费,100.00,充值,100.00,网络缴费
2021-11-03 17:47:19,紫竹-饺子,-29.27,消费,29.27,餐饮
2021-11-03 18:20:29,紫竹-民族餐厅,-15.51,消费,15.51,餐饮
2021-11-03 09:12:25,售电,-100.00,消费,100.00,生活服务
2021-11-03 18:41:02,紫竹-饺子,-17.82,消费,17.82,餐饮
2021-11-04 20:04:16,紫竹-饺子,-31.62,消费,31.62,餐饮
2021-11-05 07:31:45,玉兰食堂-早餐,-8.80,消费,8.80,餐饮
2021-11-05 14:14:08,补卡,-20.00,消费,20.00,补卡
2021-11-05 12:57:43,网络缴费,100.00,充值,100.00,网络缴费
2021-11-06 19:36:17,紫竹-鸡柳大人,-14.52,消费,14.52,餐饮
2021-11-06 11:16:12,售电,-100.00,消费,100.00,生活服务
2021-11-06 14:11:15,补卡,-20.00,消费,20.00,补卡
2021-11-07 14:58:37,水吧-拿铁,-10.81,消费,10.81,饮品
2021-11-07 13:16:15,昌平校区-食堂,-7.88,消费,7.88,餐饮
2021-11-07 13:02:06,水吧-拿铁,-14.53,消费,14.53,饮品
2021-11-07 14:14:53,玉兰食堂-烤盘饭,-31.60,消费,31.60,餐饮
2021-11-07 15:02:56,补卡,-20.00,消费,20.00,补卡
2021-11-08 12:23:32,昌平校区-食堂,-32.98,消费,32.98,餐饮
2021-11-08 20:49:49,紫竹-饺子,-23.49,消费,23.49,餐饮
2021-11-08 11:45:39,玉兰食堂-烤盘饭,-24.49,消费,24.49,餐饮
2021-11-09 10:23:21,售电,-20.00,消费,20.00,生活服务
2021-11-09 17:16:02,紫竹-民族餐厅,-11.92,消费,11.92,餐饮
2021-11-09 11:26:43,昌平校区-食堂,-29.75,消费,29.75,餐饮
2021-11-09 10:19:04,售电,-100.00,消费,100.00,生活服务
2021-11-10 21:26:06,开水,-2.00,消费,2.00,浴室/开水
2021-11-10 09:05:41,微信充值,100.00,充值,100.00,充值/转账
2021-11-10 20:26:18,紫竹-饺子,-26.17,消费,26.17,餐饮
2021-11-10 23:03:19,浴室,-2.00,消费,2.00,浴室/开水
2021-11-11 12:01:55,售电,-50.00,消费,50.00,生活服务
2021-11-11 10:46:25,售电,-50.00,消费,50.00,生活服务
2021-11-11 11:10:27,昌平校区-食堂,-18.59,消费,18.59,餐饮
2021-11-11 17:56:23,紫竹-鸡柳大人,-17.78,消费,17.78,餐饮
2021-11-11 14:08:00,补卡,-20.00,消费,20.00,补卡
2021-11-11 12:58:25,玉兰食堂-麻辣烫,-24.58,消费,24.58,餐饮
2021-11-12 10:22:18,售电,-20.00,消费,20.00,生活服务
2021-11-12 18:06:24,紫竹-饺子,-32.84,消费,32.84,餐饮
2021-11-12 22:19:08,开水,-2.00,消费,2.00,浴室/开水
2021-11-12 14:38:59,玉兰食堂-麻辣烫,-15.12,消费,15.12,餐饮
2021-11-12 08:44:52,微信充值,100.00,充值,100.00,充值/转账
2021-11-13 18:39:54,紫竹-饺子,-24.01,消费,24.01,餐饮
2021-11-13 14:13:02,昌平校区-食堂,-11.31,消费,11.31,餐饮
2021-11-13 09:22:07,微信充值,100.00,充值,100.00,充值/转账
2021-11-13 18:52:57,紫竹-民族餐厅,-34.15,消费,34.15,餐饮
2021-11-14 13:38:29,玉兰食堂-麻辣烫,-9.41,消费,9.41,餐饮
2021-11-14 23:19:37,浴室,-2.00,消费,2.00,浴室/开水
2021-11-14 16:23:28,水吧-拿铁,-11.89,消费,11.89,饮品
2021-11-14 14:01:00,补卡,-20.00,消费,20.00,补卡
2021-11-15 23:15:28,开水,-2.00,消费,2.00,浴室/开水
2021-11-15 14:51:30,补卡,-20.00,消费,20.00,补卡
2021-11-15 08:08:22,微信充值,50.00,充值,50.00,充值/转账
2021-11-15 11:51:28,网络缴费,50.00,充值,50.00,网络缴费
2021-11-15 11:05:59,玉兰食堂-麻辣烫,-24.46,消费,24.46,餐饮
2021-11-15 09:32:57,校医院,-9.07,消费,9.07,医疗
2021-11-17 17:39:46,紫竹-民族餐厅,-30.86,消费,30.86,餐饮
2021-11-17 18:56:31,紫竹-鸡柳大人,-9.82,消费,9.82,餐饮
2021-11-17 21:43:50,浴室,-2.00,消费,2.00,浴室/开水
2021-11-17 13:39:48,水吧-拿铁,-16.33,消费,16.33,饮品
2021-11-17 15:39:17,水吧-奶茶,-11.24,消费,11.24,饮品
2021-11-17 14:16:32,补卡,-20.00,消费,20.00,补卡
2021-11-18 15:02:12,水吧-奶茶,-11.19,消费,11.19,饮品
2021-11-18 20:59:17,紫竹-饺子,-10.68,消费,10.68,餐饮
2021-11-18 12:50:16,校医院,-17.66,消费,17.66,医疗
2021-11-18 17:23:55,紫竹-鸡柳大人,-24.45,消费,24.45,餐饮
2021-11-18 13:16:34,补卡,-20.00,消费,20.00,补卡
2021-11-19 10:24:23,微信充值,200.00,充值,200.00,充值/转账
2021-11-19 19:05:28,紫竹-民族餐厅,-15.59,消费,15.59,餐饮
2021-11-19 14:03:18,水吧-拿铁,-14.15,消费,14.15,饮品
2021-11-20 09:14:09,校医院,-61.03,消费,61.03,医疗
2021-11-20 23:26:32,浴室,-2.00,消费,2.00,浴室/开水
2021-11-20 09:31:14,售电,-20.00,消费,20.00,生活服务
2021-11-21 11:36:22,玉兰食堂-麻辣烫,-7.58,消费,7.58,餐饮
2021-11-21 20:33:22,浴室,-2.00,消费,2.00,浴室/开水
2021-11-22 21:13:23,浴室,-2.00,消费,2.00,浴室/开水
2021-11-23 22:08:00,开水,-2.00,消费,2.00,浴室/开水
2021-11-23 14:04:40,水吧-拿铁,-12.51,消费,12.51,饮品
2021-11-23 19:16:00,紫竹-民族餐厅,-17.66,消费,17.66,餐饮
2021-11-24 12:59:33,售电,-100.00,消费,100.00,生活服务
2021-11-24 22:10:57,开水,-2.00,消费,2.00,浴室/开水
2021-11-24 11:01:25,玉兰食堂-烤盘饭,-7.78,消费,7.78,餐饮
2021-11-24 18:58:49,紫竹-饺子,-10.62,消费,10.62,餐饮
2021-11-24 17:42:12,紫竹-鸡柳大人,-23.77,消费,23.77,餐饮
2021-11-24 20:38:41,紫竹-民族餐厅,-11.79,消费,11.79,餐饮
2021-11-25 10:19:04,网络缴费,100.00,充值,100.00,网络缴费
2021-11-25 20:56:46,浴室,-2.00,消费,2.00,浴室/开水
2021-11-25 21:24:54,开水,-2.00,消费,2.00,浴室/开水
2021-11-25 12:47:41,网络缴费,50.00,充值,50.00,网络缴费
2021-11-26 19:02:07,紫竹-鸡柳大人,-12.74,消费,12.74,餐饮
2021-11-26 11:17:40,校医院,-58.38,消费,58.38,医疗
2021-11-27 11:41:59,网络缴费,200.00,充值,200.00,网络缴费
2021-11-27 11:00:10,昌平校区-食堂,-31.52,消费,31.52,餐饮
2021-11-27 15:12:10,水吧-奶茶,-16.42,消费,16.42,饮品
2021-11-28 10:15:24,微信充值,100.00,充值,100.00,充值/转账
2021-11-28 23:53:33,开水,-2.00,消费,2.00,浴室/开水
2021-11-28 11:46:14,玉兰食堂-烤盘饭,-18.68,消费,18.68,餐饮
2021-11-29 21:25:39,浴室,-2.00,消费,2.00,浴室/开水
2021-11-29 07:01:07,玉兰食堂-早餐,-10.19,消费,10.19,餐饮
2021-11-30 10:01:01,售电,-100.00,消费,100.00,生活服务
2021-11-30 12:40:02,玉兰食堂-麻辣烫,-26.09,消费,26.09,餐饮
2021-11-30 06:37:48,玉兰食堂-早餐,-7.91,消费,7.91,餐饮
2021-11-30 10:57:42,售电,-100.00,消费,100.00,生活服务
2021-11-30 09:13:13,玉兰食堂-早餐,-9.11,消费,9.11,餐饮
2021-11-30 17:54:58,紫竹-鸡柳大人,-7.00,消费,7.00,餐饮
2021-12-01 08:08:06,玉兰食堂-早餐,-19.84,消费,19.84,餐饮
2021-12-01 13:27:16,昌平校区-食堂,-15.26,消费,15.26,餐饮
2021-12-01 13:18:03,玉兰食堂-烤盘饭,-13.44,消费,13.44,餐饮
2021-12-01 11:32:30,售电,-100.00,消费,100.00,生活服务
2021-12-01 20:50:26,浴室,-2.00,消费,2.00,浴室/开水
2021-12-02 19:03:34,紫竹-鸡柳大人,-19.60,消费,19.60,餐饮
2021-12-02 11:18:10,昌平校区-食堂,-22.66,消费,22.66,餐饮
2021-12-02 09:12:18,网络缴费,100.00,充值,100.00,网络缴费
2021-12-02 11:06:31,玉兰食堂-麻辣烫,-16.09,消费,16.09,餐饮
2021-12-02 20:53:32,紫竹-饺子,-23.18,消费,23.18,餐饮
2021-12-03 15:13:44,水吧-奶茶,-10.84,消费,10.84,饮品
2021-12-03 16:40:49,水吧-拿铁,-9.66,消费,9.66,饮品
2021-12-03 09:44:35,玉兰食堂-早餐,-28.85,消费,28.85,餐饮
2021-12-04 09:59:25,售电,-50.00,消费,50.00,生活服务
2021-12-04 09:01:23,玉兰食堂-早餐,-31.77,消费,31.77,餐饮
2021-12-04 13:57:34,昌平校区-食堂,-13.63,消费,13.63,餐饮
2021-12-05 20:40:14,紫竹-饺子,-34.49,消费,34.49,餐饮
2021-12-06 13:33:09,玉兰食堂-麻辣烫,-22.87,消费,22.87,餐饮
2021-12-06 15:10:29,补卡,-20.00,消费,20.00,补卡
2021-12-06 15:37:14,补卡,-20.00,消费,20.00,补卡
2021-12-06 19:56:44,紫竹-民族餐厅,-19.40,消费,19.40,餐饮
2021-12-07 14:48:45,水吧-拿铁,-10.67,消费,10.67,饮品
2021-12-07 18:46:20,紫竹-民族餐厅,-34.27,消费,34.27,餐饮
2021-12-07 10:20:12,售电,-20.00,消费,20.00,生活服务
2021-12-08 18:06:12,紫竹-鸡柳大人,-33.91,消费,33.91,餐饮
2021-12-08 09:50:19,微信充值,100.00,充值,100.00,充值/转账
2021-12-08 23:17:12,浴室,-2.00,消费,2.00,浴室/开水
2021-12-09 17:56:24,紫竹-鸡柳大人,-14.14,消费,14.14,餐饮
2021-12-09 13:00:25,补卡,-20.00,消费,20.00,补卡
2021-12-09 10:40:18,网络缴费,100.00,充值,100.00,网络缴费
2021-12-09 13:09:16,补卡,-20.00,消费,20.00,补卡
2021-12-09 08:58:54,微信充值,100.00,充值,100.00,充值/转账
2021-12-09 12:42:46,网络缴费,100.00,充值,100.00,网络缴费
2021-12-09 14:29:27,水吧-拿铁,-14.42,消费,14.42,饮品
2021-12-10 20:25:45,紫竹-鸡柳大人,-13.03,消费,13.03,餐饮
2021-12-10 19:30:29,紫竹-饺子,-30.63,消费,30.63,餐饮
2021-12-11 14:42:59,玉兰食堂-烤盘饭,-21.03,消费,21.03,餐饮
2021-12-11 19:24:53,紫竹-饺子,-28.57,消费,28.57,餐饮
2021-12-11 21:02:16,开水,-2.00,消费,2.00,浴室/开水
2021-12-11 12:12:33,昌平校区-食堂,-26.77,消费,26.77,餐饮
2021-12-11 09:29:34,售电,-100.00,消费,100.00,生活服务
2021-12-12 13:26:47,玉兰食堂-烤盘饭,-21.13,消费,21.13,餐饮
2021-12-12 14:43:11,补卡,-20.00,消费,20.00,补卡
2021-12-12 08:22:40,微信充值,100.00,充值,100.00,充值/转账
2021-12-13 13:25:03,玉兰食堂-麻辣烫,-13.96,消费,13.96,餐饮
2021-12-13 11:26:40,玉兰食堂-烤盘饭,-18.14,消费,18.14,餐饮
2021-12-13 11:14:19,售电,-20.00,消费,20.00,生活服务
2021-12-13 09:29:13,微信充值,100.00,充值,100.00,充值/转账
2021-12-13 18:04:51,紫竹-饺子,-32.95,消费,32.95,餐饮
2021-12-14 14:40:53,水吧-拿铁,-11.53,消费,11.53,饮品
2021-12-14 12:48:35,网络缴费,200.00,充值,200.00,网络缴费
2021-12-14 20:54:14,紫竹-民族餐厅,-16.29,消费,16.29,餐饮
2021-12-15 17:27:43,水吧-奶茶,-14.87,消费,14.87,饮品
2021-12-15 20:46:51,紫竹-饺子,-6.08,消费,6.08,餐饮
2021-12-16 22:30:31,浴室,-2.00,消费,2.00,浴室/开水
2021-12-16 09:09:59,网络缴费,200.00,充值,200.00,网络缴费
2021-12-16 23:03:05,浴室,-2.00,消费,2.00,浴室/开水
2021-12-17 10:22:40,校医院,-44.80,消费,44.80,医疗
2021-12-17 11:04:41,玉兰食堂-烤盘饭,-12.08,消费,12.08,餐饮
2021-12-17 22:38:06,浴室,-2.00,消费,2.00,浴室/开水
2021-12-17 18:28:22,紫竹-民族餐厅,-11.38,消费,11.38,餐饮
2021-12-18 09:57:44,微信充值,100.00,充值,100.00,充值/转账
2021-12-18 08:44:13,玉兰食堂-早餐,-11.72,消费,11.72,餐饮
2021-12-18 09:07:35,玉兰食堂-早餐,-25.47,消费,25.47,餐饮
2021-12-19 19:52:08,紫竹-鸡柳大人,-18.15,消费,18.15,餐饮
